时间,操作
2019-12-15 23:15:00,关闭A+B水蓄能
2019-12-15 23:30:00,启动A+B直供主管
2019-12-16 06:55:00,关闭A+B直供主管
2019-12-16 07:05:00,启动水蓄能放热主管
2019-12-16 11:00:00,关闭水蓄能放热主管
2019-12-16 11:05:00,启动A+B直供主管
2019-12-16 17:05:00,关闭A+B直供主管
2019-12-16 23:00:00,启动A+B水蓄能
2019-12-17 04:35:00,关闭A+B水蓄能
2019-12-17 04:45:00,启动A+B直供主管
2019-12-17 06:55:00,关闭A+B直供主管
2019-12-17 07:05:00,启动水蓄能放热主管
2019-12-17 10:50:00,关闭水蓄能放热主管
2019-12-17 11:00:00,启动A+B直供主管
2019-12-17 11:50:00,启动太阳能工作日直供主管
2019-12-17 14:40:00,关闭太阳能工作日直供主管
2019-12-17 17:10:00,关闭A+B直供主管
2019-12-17 23:00:00,启动A+B水蓄能
2019-12-18 04:25:00,关闭A+B水蓄能
2019-12-18 04:40:00,启动A+B直供主管
2019-12-18 06:55:00,关闭A+B直供主管
2019-12-18 07:05:00,启动水蓄能放热主管
2019-12-18 10:55:00,关闭水蓄能放热主管
2019-12-18 11:05:00,启动A+B直供主管
2019-12-18 11:05:00,启动太阳能工作日直供主管
2019-12-18 14:35:00,关闭太阳能工作日直供主管
2019-12-18 17:00:00,关闭A+B直供主管
2019-12-18 23:05:00,启动A+B水蓄能
2019-12-19 04:20:00,关闭A+B水蓄能
2019-12-19 04:35:00,启动A+B直供主管
2019-12-19 06:55:00,关闭A+B直供主管
2019-12-19 07:10:00,启动水蓄能放热主管
2019-12-19 10:55:00,关闭水蓄能放热主管
2019-12-19 11:05:00,启动A+B直供主管
2019-12-19 11:10:00,启动太阳能工作日直供主管
2019-12-19 15:05:00,关闭太阳能工作日直供主管
2019-12-19 17:05:00,关闭A+B直供主管
2019-12-19 23:00:00,启动A+B水蓄能
2019-12-20 04:15:00,关闭A+B水蓄能
2019-12-20 04:30:00,启动A+B直供主管
2019-12-20 10:25:00,关闭A+B直供主管
2019-12-20 10:35:00,启动水蓄能放热主管
2019-12-20 11:35:00,启动太阳能工作日直供主管
2019-12-20 14:10:00,关闭太阳能工作日直供主管
2019-12-20 14:55:00,关闭水蓄能放热主管
2019-12-20 15:05:00,启动A+B直供主管
2019-12-20 22:00:00,关闭A+B直供主管
2019-12-20 22:20:00,启动A+B水蓄能
2019-12-21 03:35:00,关闭A+B水蓄能
2019-12-21 03:50:00,启动A+B直供主管
2019-12-21 10:20:00,关闭A+B直供主管
2019-12-21 10:45:00,启动水蓄能放热主管
2019-12-21 18:05:00,关闭水蓄能放热主管
2019-12-21 18:20:00,启动A+B直供主管
2019-12-21 22:50:00,关闭A+B直供主管
2019-12-21 23:10:00,启动A+B水蓄能
2019-12-22 05:10:00,关闭A+B水蓄能
2019-12-22 05:25:00,启动A+B直供主管
2019-12-22 19:00:00,关闭A+B直供主管
2019-12-23 06:50:00,启动水蓄能放热主管
2019-12-23 11:00:00,关闭水蓄能放热主管
2019-12-23 11:10:00,启动A+B直供主管
2019-12-23 17:00:00,关闭A+B直供主管
2019-12-23 23:00:00,启动A+B水蓄能
2019-12-24 04:25:00,关闭A+B水蓄能
2019-12-24 04:45:00,启动A+B直供主管
2019-12-24 06:55:00,关闭A+B直供主管
2019-12-24 07:10:00,启动水蓄能放热主管
2019-12-24 10:50:00,关闭水蓄能放热主管
2019-12-24 11:00:00,启动A+B直供主管
2019-12-24 16:20:00,关闭A+B直供主管
2019-12-24 23:00:00,启动A+B水蓄能
2019-12-25 04:05:00,关闭A+B水蓄能
2019-12-25 04:25:00,启动A+B直供主管
2019-12-25 06:50:00,关闭A+B直供主管
2019-12-25 07:10:00,启动水蓄能放热主管
2019-12-25 10:55:00,关闭水蓄能放热主管
2019-12-25 11:00:00,启动A+B直供主管
2019-12-25 17:00:00,关闭A+B直供主管
2019-12-25 23:00:00,启动A+B水蓄能
2019-12-26 04:15:00,关闭A+B水蓄能
2019-12-26 04:35:00,启动A+B直供主管
2019-12-26 06:50:00,关闭A+B直供主管
2019-12-26 07:05:00,启动水蓄能放热主管
2019-12-26 10:50:00,关闭水蓄能放热主管
2019-12-26 11:10:00,启动A+B直供主管
2019-12-26 11:25:00,启动太阳能工作日直供主管
2019-12-26 14:05:00,关闭太阳能工作日直供主管
2019-12-26 17:00:00,关闭A+B直供主管
2019-12-26 23:00:00,启动A+B水蓄能
2019-12-27 04:05:00,关闭A+B水蓄能
2019-12-27 04:25:00,启动A+B直供主管
2019-12-27 06:55:00,关闭A+B直供主管
2019-12-27 07:10:00,启动水蓄能放热主管
2019-12-27 11:20:00,启动太阳能工作日直供主管
2019-12-27 14:50:00,关闭太阳能工作日直供主管
2019-12-27 17:15:00,关闭水蓄能放热主管
2019-12-29 08:35:00,启动A+B直供主管
2019-12-29 12:20:00,关闭A+B直供主管
2019-12-29 12:45:00,启动A+B水蓄能
2019-12-29 20:10:00,关闭A+B水蓄能
2019-12-29 20:30:00,启动A+B直供主管
2019-12-30 08:15:00,关闭A+B直供主管
