rest_workday
'2019-02-02'
'2019-02-03'
'2019-04-27'
'2019-02-28'
'2019-09-29'
'2019-10-12'
'2019-12-28'
'2019-12-29'
'2020-01-19'
'2020-02-01'
'2020-04-26'
'2020-05-09'
'2020-06-28'
'2020-09-27'
'2020-10-10'
